year,block,dsl_b,org_type,cin,iso_certified,initial_prod_year,acc_year_from,acc_year_to,months_operation,foreign_share,rd_unit,formal_training
24,B,100387,7,1E+21,2,2000,4,32024,12,2,3,2
24,B,100388,7,1E+21,2,2009,4,32024,12,2,3,2
24,B,100389,9,1E+21,2,0,4,32024,0,2,3,2
24,B,100393,7,1E+21,2,2009,4,32024,12,2,3,2
24,B,100395,1,1E+21,2,2012,4,32024,0,2,3,2
24,B,100396,2,1E+21,2,2017,4,32024,7,2,3,2
24,B,100397,5,1E+21,2,2022,4,32024,8,2,3,2
24,B,100398,1,1E+21,2,2021,4,32024,7,2,3,2
24,B,100399,1,1E+21,2,2009,4,32024,12,2,3,2
24,B,100400,7,1E+21,2,1973,4,32024,12,2,1,2
24,B,100401,2,1E+21,2,1994,4,32024,12,2,3,2
24,B,100402,7,1E+21,2,1998,4,32024,12,2,3,2
24,B,100403,2,1E+21,2,2009,4,32024,12,2,3,2
24,B,100404,6,1E+21,1,2001,4,32024,12,1,3,2
24,B,100405,4,1E+21,2,2003,4,32024,12,2,3,1
24,B,100406,4,1E+21,2,2003,4,32024,12,2,2,2
24,B,100407,6,1E+21,1,2008,4,32024,12,1,3,1
24,B,100409,6,1E+21,1,2010,4,32024,12,1,3,2
24,B,100410,6,1E+21,2,2011,4,32024,12,2,3,1
24,B,100411,7,1E+21,2,2012,4,32024,12,2,3,2
24,B,100412,7,1E+21,2,2012,4,32024,12,2,3,2
24,B,100413,7,1E+21,2,2011,4,32024,12,2,3,2
24,B,100415,7,1E+21,2,2014,4,32024,12,2,3,2
24,B,100416,7,1E+21,2,2017,4,32024,12,2,3,2
24,B,100417,7,1E+21,2,2018,4,32024,12,2,3,2
24,B,100418,5,1E+21,2,0,4,32024,0,2,3,2
24,B,100419,7,1E+21,2,2012,4,32024,12,2,3,2
24,B,100420,4,1E+21,2,1974,4,32024,12,2,3,1
24,B,100421,2,1E+21,2,2009,4,32024,12,2,1,2
24,B,100422,2,1E+21,2,1993,4,32024,12,2,3,2
24,B,100423,6,1E+21,2,1994,4,32024,12,2,3,2
24,B,100424,7,1E+21,2,1996,4,32024,12,2,3,2
24,B,100425,7,1E+21,2,1995,4,32024,12,2,3,2
24,B,100427,6,1E+21,2,2006,4,32024,12,2,3,2
24,B,100428,7,1E+21,2,2008,4,32024,12,2,3,2
24,B,100429,2,1E+21,2,2008,4,32024,12,2,3,2
24,B,100430,7,1E+21,2,2017,4,32024,12,2,3,2
24,B,100431,7,1E+21,2,2017,4,32024,12,2,3,2
24,B,100432,7,1E+21,1,2023,4,32024,8,2,3,1
24,B,100433,7,1E+21,2,1991,4,32024,12,2,3,2
24,B,100434,2,1E+21,2,2008,4,32024,12,2,3,2
24,B,100435,2,1E+21,2,2000,4,32024,12,2,3,2
24,B,100436,6,1E+21,2,2010,4,32024,0,2,3,2
24,B,100437,2,1E+21,2,2013,4,32024,12,2,3,2
24,B,100438,7,1E+21,2,2020,4,32024,12,2,1,2
24,B,100439,1,1E+21,2,2023,4,32024,11,2,3,2
